Date,Open,High,Low,Close,Volume,Adj Close
4/18/16,52.369999,52.549999,51.77,52.540001,7477100,52.540001
4/15/16,52.560001,52.59,51.970001,52.369999,4425200,52.369999
4/14/16,52.299999,52.75,52.110001,52.360001,5287400,52.360001
4/13/16,51.98,52.349998,51.849998,52.209999,5673300,52.209999
4/12/16,50.919998,51.669998,50.82,51.619999,5113000,51.619999
4/11/16,50.939999,51.240002,50.639999,50.759998,3558400,50.759998
4/8/16,51.009998,51.25,50.540001,50.77,4095200,50.77
4/7/16,50.470001,50.630001,50.099998,50.439999,5767000,50.439999
4/6/16,50.740002,51.09,50.080002,50.93,6284400,50.93
4/5/16,50.689999,51.279999,50.630001,50.740002,4512900,50.740002
4/4/16,50.869999,51.23,50.689999,51.07,4845900,51.07
4/1/16,50.389999,51.310001,50.040001,51.139999,6017300,51.139999
3/31/16,51.689999,51.700001,50.540001,50.860001,5578300,50.860001
3/30/16,51.439999,51.650002,51.220001,51.48,5175700,51.48
3/29/16,50.82,51.240002,50.310001,51.119999,6511300,51.119999
3/28/16,51.669998,51.860001,51.459999,51.560001,5099100,51.100002
3/24/16,50.849998,51.330002,50.509998,51.32,5247000,50.862142
3/23/16,51.169998,51.619999,51.049999,51.18,4292800,50.723392
3/22/16,51.110001,51.540001,50.93,51.25,5725100,50.792767
3/21/16,51.509998,51.700001,50.66,51.540001,7120700,51.08018
3/18/16,51.610001,52.23,51.470001,51.66,10131600,51.199109
3/17/16,50.689999,51.48,50.599998,51.400002,5835100,50.94143
3/16/16,50.080002,50.830002,49.799999,50.66,4873400,50.20803
3/15/16,49.919998,50.209999,49.709999,50.189999,5657100,49.742222
3/14/16,50.209999,50.669998,50.16,50.279999,4185000,49.83142
3/11/16,49.580002,50.82,49.580002,50.619999,6913400,50.168386
3/10/16,49.349998,49.830002,48.66,49.130001,5400700,48.691682
3/9/16,49.119999,49.450001,48.900002,49.060001,3499400,48.622307
3/8/16,49.389999,49.630001,48.450001,48.830002,9617700,48.394359
3/7/16,49.959999,50.439999,49.490002,49.759998,10750600,49.316058
3/4/16,49.599998,50.599998,49.16,50.290001,7753100,49.841332
3/3/16,49.66,49.93,49.220001,49.599998,4777900,49.157486
3/2/16,49.549999,50,48.950001,49.619999,6969100,49.177308
3/1/16,49.189999,50.110001,49.049999,50.07,7295800,49.623294
2/29/16,48.630001,49.740002,48.509998,48.610001,8725500,48.17632
2/26/16,48.459999,49.060001,48.32,48.740002,5646300,48.305162
2/25/16,47.34,48.099998,46.959999,48.099998,5370400,47.670868
2/24/16,46.400002,47.23,46.18,47.189999,6195500,46.768987
2/23/16,47.599998,47.599998,46.610001,46.98,6331300,46.560862
2/22/16,47.57,48.34,47.509998,47.889999,7760200,47.462743
2/19/16,47.41,47.459999,46.990002,47.080002,5289100,46.659972
2/18/16,47.919998,48.029999,47.41,47.57,5346400,47.145598
2/17/16,47.099998,48.119999,46.950001,47.990002,10449500,47.561853
2/16/16,46.189999,46.880001,45.990002,46.830002,6566600,46.412202
2/12/16,45.279999,46.099998,44.889999,46.009998,7185400,45.599514
2/11/16,45.16,45.830002,44.400002,44.799999,10767500,44.400311
2/10/16,46.759998,47.189999,45.98,46.16,10291600,45.748178
2/9/16,45.709999,47.200001,45.709999,46.599998,8201200,46.184251
2/8/16,46.459999,46.939999,45.200001,46.23,13511300,45.817553
2/5/16,47.48,47.5,46.41,46.689999,8030600,46.273448
2/4/16,46.93,47.639999,46.73,47.389999,13177300,46.967204
2/3/16,45.73,47.049999,45.700001,46.740002,16750300,46.323005
2/2/16,44.139999,45.18,42.82,45.029999,16411000,44.628258
2/1/16,41.580002,42.77,41.220001,42.580002,8717200,42.200119
1/29/16,41.830002,42,40.689999,42,13439900,41.625292
1/28/16,42,42.139999,40.700001,41.549999,7851400,41.179306
1/27/16,42.59,43.029999,41.389999,41.41,7859600,41.040555
1/26/16,42.349998,42.759998,41.419998,42.459999,6991800,42.081187
1/25/16,42.849998,43.279999,42.09,42.18,7306800,41.803686
1/22/16,43.07,44.139999,42.41,43.220001,9872200,42.834409
1/21/16,41.349998,42.139999,40.759998,42,9418800,41.625292
