Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,13.63,13.78,13.51,13.61,28821000,13.61
2016-04-21,13.81,13.88,13.56,13.65,38040700,13.65
2016-04-20,13.42,13.72,13.40,13.64,32085600,13.64
2016-04-19,13.35,13.50,13.28,13.44,28758800,13.44
2016-04-18,12.98,13.28,12.95,13.25,30091900,13.25
2016-04-15,13.10,13.12,12.85,12.94,22531100,12.94
2016-04-14,13.09,13.18,13.02,13.09,22352700,13.09
2016-04-13,12.87,13.12,12.85,13.06,29311600,13.06
2016-04-12,12.72,12.84,12.66,12.81,23314000,12.81
2016-04-11,12.61,12.80,12.58,12.66,27645900,12.66
2016-04-08,12.62,12.78,12.51,12.55,19999800,12.55
2016-04-07,12.77,12.79,12.39,12.52,37333200,12.52
2016-04-06,12.75,12.87,12.65,12.82,22467400,12.82
2016-04-05,12.73,12.85,12.52,12.77,32225900,12.77
2016-04-04,13.11,13.12,12.76,12.80,42343200,12.80
2016-04-01,13.28,13.33,13.05,13.10,57725800,13.10
2016-03-31,13.34,13.52,13.34,13.50,32824000,13.50
2016-03-30,13.28,13.44,13.25,13.35,25177500,13.35
2016-03-29,13.05,13.20,12.97,13.20,21645800,13.20
2016-03-28,13.13,13.17,13.07,13.09,18344800,13.09
2016-03-24,13.11,13.12,12.78,13.06,36171800,13.06
2016-03-23,13.57,13.61,13.19,13.26,31471100,13.26
2016-03-22,13.65,13.73,13.51,13.59,26011100,13.59
2016-03-21,13.64,13.76,13.56,13.66,20825000,13.66
2016-03-18,13.54,13.70,13.49,13.64,32021400,13.64
2016-03-17,13.47,13.68,13.39,13.47,31434600,13.47
2016-03-16,13.21,13.51,13.18,13.50,46965200,13.50
2016-03-15,13.12,13.24,13.05,13.23,27675800,13.23
2016-03-14,13.28,13.37,13.18,13.27,20205800,13.27
2016-03-11,13.26,13.30,13.20,13.29,27425700,13.29
2016-03-10,13.25,13.28,12.92,13.15,39040200,13.15
2016-03-09,13.25,13.32,13.01,13.19,34114200,13.19
2016-03-08,13.51,13.58,13.15,13.23,34699000,13.23
2016-03-07,13.46,13.74,13.45,13.62,25966800,13.62
2016-03-04,13.56,13.86,13.43,13.59,31670200,13.59
2016-03-03,13.25,13.61,13.24,13.54,44398800,13.54
2016-03-02,13.06,13.35,13.04,13.22,36459600,13.22
2016-03-01,13.01,13.12,12.72,13.09,71248700,13.09
2016-02-29,12.42,12.65,12.39,12.51,32066100,12.51
